Temperature	Date	Time
18	07/02/2022	03:03:48.855950
18	07/02/2022	03:13:49.114798
18	07/02/2022	03:23:49.471243
18	07/02/2022	03:33:49.827668
18	07/02/2022	03:43:50.097877
17	07/02/2022	03:53:50.442782
17	07/02/2022	04:03:50.799198
17	07/02/2022	04:13:51.155457
17	07/02/2022	04:23:51.512010
17	07/02/2022	04:33:51.823337
17	07/02/2022	04:43:52.179759
16	07/02/2022	04:53:52.536177
16	07/02/2022	05:03:52.892744
16	07/02/2022	05:13:53.162989
16	07/02/2022	05:23:53.519373
16	07/02/2022	05:33:53.865251
16	07/02/2022	05:43:54.139856
16	07/02/2022	05:53:54.496253
17	07/02/2022	06:03:54.852606
17	07/02/2022	06:13:55.164363
17	07/02/2022	06:23:55.520987
17	07/02/2022	06:33:55.830559
18	07/02/2022	06:43:56.187008
17	07/02/2022	06:53:56.543355
18	07/02/2022	07:03:56.899589
18	07/02/2022	07:13:57.242906
17	07/02/2022	07:23:57.599278
18	07/02/2022	07:33:57.955689
18	07/02/2022	07:43:58.312203
18	07/02/2022	07:53:58.602982
18	07/02/2022	08:03:58.910484
18	07/02/2022	08:13:59.266790
18	07/02/2022	08:24:01.880640
18	07/02/2022	08:34:02.237044
18	07/02/2022	08:44:02.513175
18	07/02/2022	08:54:02.869598
18	07/02/2022	09:04:05.483554
18	07/02/2022	09:14:05.839981
18	07/02/2022	09:24:06.196380
18	07/02/2022	09:34:06.467026
18	07/02/2022	09:44:06.762932
18	07/02/2022	09:54:07.119291
18	07/02/2022	10:04:07.475816
18	07/02/2022	10:14:07.833170
18	07/02/2022	10:24:10.381888
18	07/02/2022	10:34:10.738961
18	07/02/2022	10:44:11.095983
18	07/02/2022	10:54:11.360399
18	07/02/2022	11:04:11.648311
18	07/02/2022	11:14:12.005711
18	07/02/2022	11:24:12.300842
18	07/02/2022	11:34:12.658060
18	07/02/2022	11:44:12.980696
19	07/02/2022	11:54:13.338313
18	07/02/2022	12:04:13.605387
18	07/02/2022	12:14:13.866890
18	07/02/2022	12:24:14.136814
18	07/02/2022	12:34:14.410757
19	07/02/2022	12:44:14.768465
19	07/02/2022	12:54:15.125730
19	07/02/2022	13:04:15.483323
18	07/02/2022	13:14:15.840941
19	07/02/2022	13:24:16.202808
18	07/02/2022	13:34:16.469868
19	07/02/2022	13:44:16.827400
18	07/02/2022	13:54:17.184302
19	07/02/2022	14:04:17.541654
19	07/02/2022	14:14:17.805150
19	07/02/2022	14:24:18.103083
19	07/02/2022	14:34:18.458515
19	07/02/2022	14:44:18.815831
19	07/02/2022	14:54:19.078961
19	07/02/2022	15:04:19.436267
19	07/02/2022	15:14:22.051408
19	07/02/2022	15:24:22.408730
19	07/02/2022	15:34:22.726959
19	07/02/2022	15:44:22.986286
19	07/02/2022	15:54:23.343816
19	07/02/2022	16:04:23.701207
19	07/02/2022	16:14:24.058527
19	07/02/2022	16:24:24.321521
19	07/02/2022	16:34:24.603686
19	07/02/2022	16:44:24.901716
19	07/02/2022	16:54:25.259015
19	07/02/2022	17:04:25.616342
19	07/02/2022	17:14:25.964045
19	07/02/2022	17:24:26.239503
19	07/02/2022	17:34:26.514353
19	07/02/2022	17:44:26.871638
19	07/02/2022	17:54:27.138151
19	07/02/2022	18:04:27.403767
19	07/02/2022	18:14:27.760997
19	07/02/2022	18:24:28.111372
19	07/02/2022	18:34:28.371967
19	07/02/2022	18:44:28.670967
19	07/02/2022	18:54:29.027909
19	07/02/2022	19:04:29.289297
19	07/02/2022	19:14:29.646578
19	07/02/2022	19:24:29.915088
19	07/02/2022	19:34:30.203729
19	07/02/2022	19:44:30.561026
19	07/02/2022	19:54:30.918023
19	07/02/2022	20:04:31.175457
19	07/02/2022	20:14:31.520193
20	07/02/2022	20:24:31.864807
20	07/02/2022	20:34:32.221946
20	07/02/2022	20:44:32.488771
20	07/02/2022	20:54:32.843088
20	07/02/2022	21:04:33.103193
20	07/02/2022	21:14:33.365174
20	07/02/2022	21:24:33.627607
20	07/02/2022	21:34:33.888035
20	07/02/2022	21:44:34.245412
20	07/02/2022	21:54:34.511258
20	07/02/2022	22:04:34.868468
20	07/02/2022	22:14:35.128190
20	07/02/2022	22:24:35.392893
20	07/02/2022	22:34:35.750148
20	07/02/2022	22:44:36.020946
20	07/02/2022	22:54:36.378136
20	07/02/2022	23:04:36.735403
20	07/02/2022	23:14:37.007517
20	07/02/2022	23:24:37.266348
20	07/02/2022	23:34:37.623550
19	07/02/2022	23:44:37.885898
19	07/02/2022	23:54:38.146331
19	08/02/2022	00:04:38.503684
19	08/02/2022	00:14:38.763204
19	08/02/2022	00:24:39.120619
19	08/02/2022	00:34:39.393183
19	08/02/2022	00:44:39.750609
19	08/02/2022	00:54:40.043926
19	08/02/2022	01:04:40.321300
19	08/02/2022	01:14:40.678521
19	08/02/2022	01:24:41.035912
19	08/02/2022	01:34:41.393208
19	08/02/2022	01:44:41.656688
19	08/02/2022	01:54:42.013797
19	08/02/2022	02:04:42.371041
19	08/02/2022	02:14:42.728277
19	08/02/2022	02:24:43.085653
19	08/02/2022	02:34:43.443062
19	08/02/2022	02:44:43.800373
