Temperature	Date	Time
19	14/02/2022	01:36:52.429582
19	14/02/2022	01:46:52.688589
18	14/02/2022	01:56:53.044417
17	14/02/2022	02:06:55.657747
17	14/02/2022	02:16:55.927092
17	14/02/2022	02:26:56.282931
17	14/02/2022	02:36:56.546504
18	14/02/2022	02:46:56.809457
18	14/02/2022	02:56:57.165253
18	14/02/2022	03:06:57.434017
18	14/02/2022	03:16:57.709401
17	14/02/2022	03:26:58.065219
18	14/02/2022	03:36:58.322835
18	14/02/2022	03:46:58.580087
18	14/02/2022	03:56:58.856413
17	14/02/2022	04:06:59.121303
17	14/02/2022	04:16:59.477949
17	14/02/2022	04:26:59.834572
16	14/02/2022	04:37:00.123073
16	14/02/2022	04:47:00.479694
16	14/02/2022	04:57:00.763045
16	14/02/2022	05:07:01.082882
16	14/02/2022	05:17:01.439456
16	14/02/2022	05:27:01.795851
16	14/02/2022	05:37:02.104878
16	14/02/2022	05:47:02.461485
16	14/02/2022	05:57:02.817976
16	14/02/2022	06:07:03.174532
17	14/02/2022	06:17:03.483101
17	14/02/2022	06:27:03.839700
17	14/02/2022	06:37:04.114823
17	14/02/2022	06:47:04.471312
17	14/02/2022	06:57:04.734849
17	14/02/2022	07:07:05.091473
17	14/02/2022	07:17:05.448124
17	14/02/2022	07:27:05.804727
17	14/02/2022	07:37:06.161432
17	14/02/2022	07:47:06.434564
17	14/02/2022	07:57:06.790988
17	14/02/2022	08:07:07.147510
17	14/02/2022	08:17:07.503993
18	14/02/2022	08:27:07.860435
17	14/02/2022	08:37:08.217038
18	14/02/2022	08:47:08.573524
17	14/02/2022	08:57:08.922573
18	14/02/2022	09:07:09.279157
18	14/02/2022	09:17:09.635636
17	14/02/2022	09:27:09.992396
18	14/02/2022	09:37:10.348999
18	14/02/2022	09:47:10.705557
17	14/02/2022	09:57:11.062289
18	14/02/2022	10:07:11.321255
18	14/02/2022	10:17:11.643907
18	14/02/2022	10:27:14.258339
18	14/02/2022	10:37:16.872619
18	14/02/2022	10:47:17.230085
18	14/02/2022	10:57:17.500915
18	14/02/2022	11:07:17.858280
18	14/02/2022	11:17:18.124658
18	14/02/2022	11:27:18.444024
18	14/02/2022	11:37:18.801489
18	14/02/2022	11:47:19.159460
18	14/02/2022	11:57:19.524319
18	14/02/2022	12:07:19.873992
19	14/02/2022	12:17:20.151487
19	14/02/2022	12:27:20.508869
19	14/02/2022	12:37:20.866545
19	14/02/2022	12:47:21.163721
19	14/02/2022	12:57:21.521135
19	14/02/2022	13:07:21.878566
19	14/02/2022	13:17:24.400225
19	14/02/2022	13:27:24.667905
19	14/02/2022	13:37:27.282430
19	14/02/2022	13:47:27.588961
20	14/02/2022	13:57:27.946160
20	14/02/2022	14:07:28.208841
20	14/02/2022	14:17:28.566239
20	14/02/2022	14:27:28.923616
19	14/02/2022	14:37:29.280930
19	14/02/2022	14:47:29.638470
19	14/02/2022	14:57:29.995907
20	14/02/2022	15:07:30.353512
20	14/02/2022	15:17:30.683910
20	14/02/2022	15:27:30.945620
20	14/02/2022	15:37:31.303171
20	14/02/2022	15:47:31.580419
20	14/02/2022	15:57:31.937743
20	14/02/2022	16:07:32.295407
20	14/02/2022	16:17:32.652422
19	14/02/2022	16:27:32.924062
20	14/02/2022	16:37:35.539042
20	14/02/2022	16:47:35.896196
19	14/02/2022	16:57:36.253403
20	14/02/2022	17:07:36.610607
19	14/02/2022	17:17:36.967941
19	14/02/2022	17:27:37.325258
19	14/02/2022	17:37:37.682559
19	14/02/2022	17:47:38.039859
20	14/02/2022	17:57:38.307650
21	14/02/2022	18:07:38.566345
20	14/02/2022	18:17:41.181327
20	14/02/2022	18:27:41.439731
21	14/02/2022	18:37:41.797071
20	14/02/2022	18:47:42.154489
20	14/02/2022	18:57:42.511763
20	14/02/2022	19:07:42.868406
20	14/02/2022	19:17:43.224411
20	14/02/2022	19:27:43.581763
20	14/02/2022	19:37:43.939021
20	14/02/2022	19:47:44.283884
21	14/02/2022	19:57:44.641332
21	14/02/2022	20:07:44.902146
21	14/02/2022	20:17:45.174198
21	14/02/2022	20:27:45.531668
21	14/02/2022	20:37:45.889094
21	14/02/2022	20:47:46.246382
21	14/02/2022	20:57:46.603722
21	14/02/2022	21:07:46.961143
21	14/02/2022	21:17:47.318459
21	14/02/2022	21:27:47.581795
21	14/02/2022	21:37:47.919215
21	14/02/2022	21:47:48.276491
21	14/02/2022	21:57:48.633924
20	14/02/2022	22:07:48.902365
20	14/02/2022	22:17:49.259619
20	14/02/2022	22:27:49.616895
20	14/02/2022	22:37:49.974278
20	14/02/2022	22:47:50.331460
20	14/02/2022	22:57:50.588442
20	14/02/2022	23:07:50.861117
20	14/02/2022	23:17:51.167401
20	14/02/2022	23:27:51.425914
19	14/02/2022	23:37:51.686914
19	14/02/2022	23:47:52.044195
19	14/02/2022	23:57:52.401476
19	15/02/2022	00:07:52.758910
19	15/02/2022	00:17:53.022252
19	15/02/2022	00:27:53.281929
19	15/02/2022	00:37:53.639210
19	15/02/2022	00:47:53.964103
19	15/02/2022	00:57:54.321445
19	15/02/2022	01:07:54.581439
19	15/02/2022	01:17:54.939047
19	15/02/2022	01:27:55.208565
19	15/02/2022	01:37:55.565887
19	15/02/2022	01:47:55.923228
19	15/02/2022	01:57:56.280569
19	15/02/2022	02:07:56.637862
19	15/02/2022	02:17:56.995113
18	15/02/2022	02:27:57.265594
19	15/02/2022	02:37:57.526699
18	15/02/2022	02:47:57.789022
18	15/02/2022	02:57:58.124013
17	15/02/2022	03:07:58.481293
17	15/02/2022	03:17:58.838526
17	15/02/2022	03:27:59.096499
17	15/02/2022	03:37:59.453871
17	15/02/2022	03:47:59.810643
17	15/02/2022	03:58:00.167953
16	15/02/2022	04:08:00.525275
16	15/02/2022	04:18:00.843879
16	15/02/2022	04:28:01.102544
16	15/02/2022	04:38:01.459379
16	15/02/2022	04:48:01.816704
16	15/02/2022	04:58:02.174146
16	15/02/2022	05:08:02.444271
16	15/02/2022	05:18:02.718678
